Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_3_month_after_2nd_before_3rd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_30_days_after_3rd_dose,positive_31_90_days_after_3rd_dose,positive_above_90_days_after_3rd_dose,Sum_positive_without_vaccination
2020-12-20 - 2020-12-26,0-19,,,,,,,,,,,,,,,8117
2020-12-20 - 2020-12-26,20-29,15.0,,,,,,,,,,,,,,4752
2020-12-20 - 2020-12-26,30-39,24.0,,,,,,,,,,,,,,3767
2020-12-20 - 2020-12-26,40-49,21.0,,,,,,,,,,,,,,3469
2020-12-20 - 2020-12-26,50-59,20.0,,,,,,,,,,,,,,2517
2020-12-20 - 2020-12-26,60-69,25.0,,,,,,,,,,,,,,1786
2020-12-20 - 2020-12-26,70-79,9.0,,,,,,,,,,,,,,893
2020-12-20 - 2020-12-26,80-89,<5,,,,,,,,,,,,,,396
2020-12-20 - 2020-12-26,90+,,,,,,,,,,,,,,,140
2020-12-27 - 2021-01-02,0-19,46.0,<5,,,,,,,,,,,,,12759
2020-12-27 - 2021-01-02,20-29,151.0,43.0,,,,,,,,,,,,,6249
2020-12-27 - 2021-01-02,30-39,123.0,79.0,,,,,,,,,,,,,5031
2020-12-27 - 2021-01-02,40-49,157.0,63.0,,,,,,,,,,,,,4147
2020-12-27 - 2021-01-02,50-59,177.0,81.0,,,,,,,,,,,,,3158
2020-12-27 - 2021-01-02,60-69,292.0,140.0,,,,,,,,,,,,,1873
2020-12-27 - 2021-01-02,70-79,155.0,54.0,,,,,,,,,,,,,936
2020-12-27 - 2021-01-02,80-89,77.0,20.0,,,,,,,,,,,,,422
2020-12-27 - 2021-01-02,90+,23.0,5.0,,,,,,,,,,,,,160
2021-01-03 - 2021-01-09,0-19,99.0,82.0,5.0,,,,,,,,,,,,18272
2021-01-03 - 2021-01-09,20-29,283.0,246.0,21.0,,,,,,,,,,,,8396
2021-01-03 - 2021-01-09,30-39,298.0,320.0,40.0,,,,,,,,,,,,6363
2021-01-03 - 2021-01-09,40-49,394.0,447.0,64.0,,,,,,,,,,,,5247
2021-01-03 - 2021-01-09,50-59,476.0,499.0,62.0,,,,,,,,,,,,3296
2021-01-03 - 2021-01-09,60-69,478.0,814.0,132.0,,,,,,,,,,,,1577
2021-01-03 - 2021-01-09,70-79,230.0,438.0,58.0,,,,,,,,,,,,695
2021-01-03 - 2021-01-09,80-89,212.0,231.0,12.0,,,,,,,,,,,,375
2021-01-03 - 2021-01-09,90+,75.0,114.0,<5,,,,,,,,,,,,111
2021-01-10 - 2021-01-16,0-19,46.0,165.0,50.0,,,,,,,,,,,,22239
2021-01-10 - 2021-01-16,20-29,142.0,432.0,108.0,5.0,<5,,,,,,,,,,9035
2021-01-10 - 2021-01-16,30-39,173.0,484.0,197.0,12.0,5.0,,,,,,,,,,7061
2021-01-10 - 2021-01-16,40-49,287.0,751.0,285.0,22.0,10.0,,,,,,,,,,5378
2021-01-10 - 2021-01-16,50-59,286.0,948.0,353.0,23.0,11.0,,,,,,,,,,3269
2021-01-10 - 2021-01-16,60-69,179.0,1006.0,698.0,44.0,16.0,,,,,,,,,,1285
2021-01-10 - 2021-01-16,70-79,90.0,568.0,400.0,35.0,<5,,,,,,,,,,582
2021-01-10 - 2021-01-16,80-89,54.0,327.0,261.0,9.0,8.0,,,,,,,,,,287
2021-01-10 - 2021-01-16,90+,18.0,133.0,70.0,,,,,,,,,,,,105
2021-01-17 - 2021-01-23,0-19,83.0,85.0,59.0,18.0,8.0,<5,,,,,,,,,19781
2021-01-17 - 2021-01-23,20-29,179.0,201.0,171.0,34.0,28.0,5.0,,,,,,,,,7937
2021-01-17 - 2021-01-23,30-39,132.0,240.0,204.0,58.0,36.0,6.0,,,,,,,,,5839
2021-01-17 - 2021-01-23,40-49,258.0,420.0,346.0,86.0,79.0,14.0,,,,,,,,,4334
2021-01-17 - 2021-01-23,50-59,274.0,570.0,557.0,114.0,69.0,18.0,,,,,,,,,2416
2021-01-17 - 2021-01-23,60-69,70.0,350.0,741.0,173.0,151.0,20.0,,,,,,,,,1097
2021-01-17 - 2021-01-23,70-79,21.0,143.0,397.0,139.0,106.0,13.0,,,,,,,,,471
2021-01-17 - 2021-01-23,80-89,13.0,88.0,260.0,77.0,70.0,13.0,,,,,,,,,259
2021-01-17 - 2021-01-23,90+,<5,17.0,90.0,21.0,30.0,<5,,,,,,,,,85
2021-01-24 - 2021-01-30,0-19,275.0,198.0,23.0,15.0,11.0,<5,,,,,,,,,18408
2021-01-24 - 2021-01-30,20-29,316.0,396.0,66.0,49.0,64.0,18.0,,,,,,,,,7381
2021-01-24 - 2021-01-30,30-39,252.0,281.0,117.0,70.0,92.0,32.0,<5,,,,,,,,5011
2021-01-24 - 2021-01-30,40-49,419.0,611.0,222.0,141.0,143.0,54.0,5.0,,,,,,,,3419
2021-01-24 - 2021-01-30,50-59,166.0,556.0,327.0,219.0,202.0,86.0,<5,,,,,,,,1973
2021-01-24 - 2021-01-30,60-69,47.0,143.0,252.0,212.0,229.0,169.0,6.0,,,,,,,,968
2021-01-24 - 2021-01-30,70-79,17.0,46.0,143.0,146.0,149.0,127.0,11.0,,,,,,,,395
2021-01-24 - 2021-01-30,80-89,14.0,25.0,75.0,59.0,121.0,91.0,6.0,,,,,,,,237
2021-01-24 - 2021-01-30,90+,<5,8.0,18.0,22.0,40.0,37.0,<5,,,,,,,,77
2021-01-31 - 2021-02-06,0-19,356.0,769.0,123.0,12.0,17.0,7.0,,,,,,,,,18125
2021-01-31 - 2021-02-06,20-29,374.0,679.0,199.0,42.0,32.0,35.0,5.0,,,,,,,,7309
2021-01-31 - 2021-02-06,30-39,339.0,492.0,134.0,40.0,53.0,62.0,19.0,,,,,,,,5147
2021-01-31 - 2021-02-06,40-49,290.0,801.0,421.0,89.0,113.0,111.0,33.0,,,,,,,,3172
2021-01-31 - 2021-02-06,50-59,133.0,395.0,381.0,143.0,176.0,185.0,37.0,,,,,,,,1917
2021-01-31 - 2021-02-06,60-69,55.0,131.0,110.0,85.0,123.0,200.0,52.0,,,,,,,,893
2021-01-31 - 2021-02-06,70-79,16.0,42.0,43.0,58.0,73.0,131.0,67.0,,,,,,,,413
2021-01-31 - 2021-02-06,80-89,6.0,28.0,26.0,43.0,38.0,121.0,34.0,,,,,,,,223
2021-01-31 - 2021-02-06,90+,<5,5.0,<5,8.0,19.0,34.0,16.0,,,,,,,,61
2021-02-07 - 2021-02-13,0-19,159.0,476.0,167.0,18.0,7.0,7.0,6.0,,,,,,,,14260
2021-02-07 - 2021-02-13,20-29,345.0,492.0,193.0,56.0,32.0,17.0,18.0,<5,,,,,,,5747
2021-02-07 - 2021-02-13,30-39,290.0,505.0,195.0,64.0,42.0,28.0,27.0,,,,,,,,3977
2021-02-07 - 2021-02-13,40-49,153.0,452.0,360.0,122.0,78.0,57.0,51.0,<5,,,,,,,2551
2021-02-07 - 2021-02-13,50-59,88.0,256.0,249.0,98.0,116.0,86.0,64.0,<5,,,,,,,1544
2021-02-07 - 2021-02-13,60-69,27.0,99.0,83.0,33.0,29.0,79.0,98.0,<5,,,,,,,772
