VaccinationDate,age_group,first_dose,second_dose,third_dose
2020-12-20,40-49,1868,0,0
2020-12-20,60-69,1517,0,0
2020-12-20,50-59,1790,0,0
2020-12-20,70-79,495,0,0
2020-12-20,30-39,1199,0,0
2020-12-20,80-89,94,0,0
2020-12-20,20-29,392,0,0
2020-12-20,90+,<15,0,0
2020-12-20,0-19,21,0,0
2020-12-21,70-79,4889,0,0
2020-12-21,60-69,7285,0,0
2020-12-21,0-19,67,0,0
2020-12-21,30-39,2786,0,0
2020-12-21,90+,167,0,0
2020-12-21,80-89,1165,0,0
2020-12-21,40-49,3790,0,0
2020-12-21,50-59,3692,0,0
2020-12-21,20-29,1068,0,0
2020-12-22,0-19,99,0,0
2020-12-22,30-39,3604,0,0
2020-12-22,40-49,4537,0,0
2020-12-22,50-59,4663,0,0
2020-12-22,20-29,1577,0,0
2020-12-22,70-79,11762,0,0
2020-12-22,90+,456,0,0
2020-12-22,80-89,3498,0,0
2020-12-22,60-69,14434,0,0
2020-12-23,30-39,3869,0,0
2020-12-23,70-79,18014,0,0
2020-12-23,60-69,21619,0,0
2020-12-23,50-59,5342,0,0
2020-12-23,0-19,160,0,0
2020-12-23,40-49,5042,0,0
2020-12-23,90+,1026,0,0
2020-12-23,20-29,2127,0,0
2020-12-23,80-89,5680,0,0
2020-12-24,40-49,5219,0,0
2020-12-24,80-89,7678,0,0
2020-12-24,30-39,3802,0,0
2020-12-24,90+,1349,0,0
2020-12-24,70-79,21761,0,0
2020-12-24,60-69,25645,0,0
2020-12-24,20-29,2074,0,0
2020-12-24,0-19,202,0,0
2020-12-24,50-59,5669,0,0
2020-12-25,30-39,1397,0,0
2020-12-25,0-19,126,0,0
2020-12-25,90+,764,0,0
2020-12-25,70-79,12285,0,0
2020-12-25,60-69,13409,0,0
2020-12-25,40-49,2256,0,0
2020-12-25,80-89,4531,0,0
2020-12-25,20-29,756,0,0
2020-12-25,50-59,2970,0,0
2020-12-26,40-49,1690,0,0
2020-12-26,30-39,984,0,0
2020-12-26,80-89,3750,0,0
2020-12-26,70-79,10605,0,0
2020-12-26,60-69,11903,0,0
2020-12-26,0-19,92,0,0
2020-12-26,50-59,2408,0,0
2020-12-26,20-29,486,0,0
2020-12-26,90+,690,0,0
2020-12-27,90+,2389,0,0
2020-12-27,50-59,10060,0,0
2020-12-27,30-39,6092,0,0
2020-12-27,80-89,11874,0,0
2020-12-27,40-49,8493,0,0
2020-12-27,60-69,32952,0,0
2020-12-27,0-19,489,0,0
2020-12-27,70-79,28547,0,0
2020-12-27,20-29,3589,0,0
2020-12-28,80-89,13675,0,0
2020-12-28,90+,2611,0,0
2020-12-28,50-59,14810,0,0
2020-12-28,40-49,13448,0,0
2020-12-28,20-29,6675,0,0
2020-12-28,30-39,9576,0,0
2020-12-28,70-79,32875,0,0
2020-12-28,0-19,1264,0,0
2020-12-28,60-69,40016,0,0
2020-12-29,0-19,1442,0,0
2020-12-29,50-59,18590,0,0
2020-12-29,20-29,7568,0,0
2020-12-29,60-69,43986,0,0
2020-12-29,40-49,16306,0,0
2020-12-29,70-79,35908,0,0
2020-12-29,90+,4363,0,0
2020-12-29,30-39,11584,0,0
2020-12-29,80-89,16457,0,0
2020-12-30,40-49,16213,0,0
2020-12-30,60-69,42067,0,0
2020-12-30,30-39,11711,0,0
2020-12-30,20-29,8228,0,0
2020-12-30,80-89,15460,0,0
2020-12-30,50-59,21067,0,0
2020-12-30,90+,3895,0,0
2020-12-30,0-19,1451,0,0
2020-12-30,70-79,32964,0,0
2020-12-31,30-39,13844,0,0
2020-12-31,50-59,26971,0,0
2020-12-31,70-79,29636,0,0
2020-12-31,40-49,19387,0,0
2020-12-31,80-89,14534,0,0
2020-12-31,0-19,1801,0,0
2020-12-31,60-69,38859,0,0
2020-12-31,90+,3766,0,0
2020-12-31,20-29,9672,0,0
2021-01-01,70-79,12482,0,0
2021-01-01,20-29,3332,0,0
2021-01-01,60-69,17561,0,0
2021-01-01,90+,1478,0,0
2021-01-01,40-49,9419,0,0
2021-01-01,80-89,6123,0,0
2021-01-01,0-19,822,0,0
2021-01-01,50-59,14380,0,0
2021-01-01,30-39,5796,0,0
2021-01-02,70-79,10364,0,0
2021-01-02,40-49,11803,0,0
